CUSTOMERNAME,CUSTOMER_ID,CONTACTFIRSTNAME,CONTACTLASTNAME,PHONE,ADDRESSLINE1,CITY,POSTALCODE,COUNTRY
Gift Ideas Corp.,2323,Dan,Lewis,2035554407,2440 Pompton St.,Glendale,97561,USA
"Anna's Decorations, Ltd",2324,Anna,O'Hara,02 9936 8555,201 Miller Street,North Sydney,2060,Australia
Daedalus Designs Imports,2325,Martine,Rance,20.16.1555,"184, chausse de Tournai",Lille,59000,France
"Toms Spezialitten, Ltd",2326,Henriette,Pfalzheim,0221-5554327,Mehrheimerstr. 369,Koln,50739,Germany
Auto Canal Petit,2327,Dominique,Perrier,(1) 47.55.6555,"25, rue Lauriston",Paris,75016,France
"Vida Sport, Ltd",2328,Michael,Holz,0897-034555,Grenzacherweg 237,Gensve,1203,Switzerland
Danish Wholesale Imports,2329,Jytte,Petersen,31 12 3555,Vinb'ltet 34,Kobenhavn,1734,Denmark
Auto Canal Petit,2330,Dominique,Perrier,(1) 47.55.6555,"25, rue Lauriston",Paris,75016,France
Gifts4AllAges.com,2331,Juri,Yoshido,6175559555,8616 Spinnaker Dr.,Boston,51003,USA
Online Mini Collectables,2332,Miguel,Barajas,6175557555,7635 Spinnaker Dr.,Brickhaven,58339,USA
"Vida Sport, Ltd",2333,Michael,Holz,0897-034555,Grenzacherweg 237,Gensve,1203,Switzerland
"Toys of Finland, Co.",2334,Matti,Karttunen,90-224 8555,Keskuskatu 45,Helsinki,21240,Finland
"Toms Spezialitten, Ltd",2335,Henriette,Pfalzheim,0221-5554327,Mehrheimerstr. 369,Koln,50739,Germany
Microscale Inc.,2336,Kee,Kuo,2125551957,5290 North Pendale Street,NYC,10022,USA
Cruz & Sons Co.,2337,Arnold,Cruz,+63 2 555 3587,15 McCallum Street - NatWest Center #13-03,Makati City,1227 MM,Philippines
"Australian Collectors, Co.",2338,Peter,Ferguson,03 9520 4555,636 St Kilda Road,Melbourne,3004,Australia
Euro Shopping Channel,2339,Diego,Freyre,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain
Suominen Souveniers,2340,Kalle,Suominen,+358 9 8045 555,"Software Engineering Center, SEC Oy",Espoo,FIN-02271,Finland
Euro Shopping Channel,2341,Diego,Freyre,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain
Mini Gifts Distributors Ltd.,2342,Valarie,Nelson,4155551450,5677 Strong St.,San Rafael,97562,USA
"AV Stores, Co.",2343,Victoria,Ashworth,(171) 555-1555,Fauntleroy Circus,Manchester,EC2 5NT,UK
Signal Gift Stores,2344,Sue,King,7025551838,8489 Strong St.,Las Vegas,83030,USA
"Anna's Decorations, Ltd",2345,Anna,O'Hara,02 9936 8555,201 Miller Street,North Sydney,2060,Australia
Heintze Collectables,2346,Palle,Ibsen,86 21 3555,Smagsloget 45,Aaarhus,8200,Denmark
Rovelli Gifts,2347,Giovanni,Rovelli,035-640555,Via Ludovico il Moro 22,Bergamo,24100,Italy
Mini Gifts Distributors Ltd.,2348,Valarie,Nelson,4155551450,5677 Strong St.,San Rafael,97562,USA
"Australian Collectables, Ltd",2349,Sean,Connery,61-9-3844-6555,7 Allen Street,Glen Waverly,3150,Australia
Muscle Machine Inc,2350,Jeff,Young,2125557413,4092 Furth Circle,NYC,10022,USA
"Double Decker Gift Stores, Ltd",2351,Thomas,Hardy,(171) 555-7555,120 Hanover Sq.,London,WA1 1DP,UK
"Saveley & Henriot, Co.",2352,Mary,Saveley,78.32.5555,"2, rue du Commerce",Lyon,69004,France
Mini Caravy,2353,Frederique,Citeaux,88.60.1555,"24, place Kluber",Strasbourg,67000,France
Muscle Machine Inc,2354,Jeff,Young,2125557413,4092 Furth Circle,NYC,10022,USA
Euro Shopping Channel,2355,Diego,Freyre,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain
Handji Gifts& Co,2356,Wendy,Victorino,+65 224 1555,Village Close - 106 Linden Road Sandown,Singapore,69045,Singapore
"UK Collectables, Ltd.",2357,Elizabeth,Devon,(171) 555-2282,Berkeley Gardens 12  Brewery,Liverpool,WX1 6LT,UK
Euro Shopping Channel,2358,Diego,Freyre,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain
"AV Stores, Co.",2359,Victoria,Ashworth,(171) 555-1555,Fauntleroy Circus,Manchester,EC2 5NT,UK
Marseille Mini Autos,2360,Laurence,Lebihan,91.24.4555,"12, rue des Bouchers",Marseille,13008,France
Toys4GrownUps.com,2361,Julie,Young,6265557265,78934 Hillside Dr.,Pasadena,90003,USA
Euro Shopping Channel,2362,Diego,Freyre,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain
The Sharp Gifts Warehouse,2363,Sue,Frick,4085553659,3086 Ingle Ln.,San Jose,94217,USA
Souveniers And Things Co.,2364,Adrian,Huxley,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Chatswood,2067,Australia
"AV Stores, Co.",2365,Victoria,Ashworth,(171) 555-1555,Fauntleroy Circus,Manchester,EC2 5NT,UK
Signal Gift Stores,2366,Sue,King,7025551838,8489 Strong St.,Las Vegas,83030,USA
"Anna's Decorations, Ltd",2367,Anna,O'Hara,02 9936 8555,201 Miller Street,North Sydney,2060,Australia
Heintze Collectables,2368,Palle,Ibsen,86 21 3555,Smagsloget 45,Aaarhus,8200,Denmark
Gift Depot Inc.,2369,Julie,King,2035552570,25593 South Bay Ln.,Bridgewater,97562,USA
Mini Gifts Distributors Ltd.,2370,Valarie,Nelson,4155551450,5677 Strong St.,San Rafael,97562,USA
Online Diecast Creations Co.,2371,Valarie,Young,6035558647,2304 Long Airport Avenue,Nashua,62005,USA
Muscle Machine Inc,2372,Jeff,Young,2125557413,4092 Furth Circle,NYC,10022,USA
Euro Shopping Channel,2373,Diego,Freyre,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain
Collectable Mini Designs Co.,2374,Valarie,Thompson,7605558146,361 Furth Circle,San Diego,91217,USA
Mini Caravy,2375,Frederique,Citeaux,88.60.1555,"24, place Kluber",Strasbourg,67000,France
Muscle Machine Inc,2376,Jeff,Young,2125557413,4092 Furth Circle,NYC,10022,USA
Euro Shopping Channel,2377,Diego,Freyre,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain
Handji Gifts& Co,2378,Wendy,Victorino,+65 224 1555,Village Close - 106 Linden Road Sandown,Singapore,69045,Singapore
"Norway Gifts By Mail, Co.",2379,Jan,Klaeboe,+47 2212 1555,"Drammensveien 126 A, PB 744 Sentrum",Oslo,N 0106,Norway
Euro Shopping Channel,2380,Diego,Freyre,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain
FunGiftIdeas.com,2381,Violeta,Benitez,5085552555,1785 First Street,New Bedford,50553,USA
"AV Stores, Co.",2382,Victoria,Ashworth,(171) 555-1555,Fauntleroy Circus,Manchester,EC2 5NT,UK
Marseille Mini Autos,2383,Laurence,Lebihan,91.24.4555,"12, rue des Bouchers",Marseille,13008,France
Toys4GrownUps.com,2384,Julie,Young,6265557265,78934 Hillside Dr.,Pasadena,90003,USA
Euro Shopping Channel,2385,Diego,Freyre,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain
The Sharp Gifts Warehouse,2386,Sue,Frick,4085553659,3086 Ingle Ln.,San Jose,94217,USA
Souveniers And Things Co.,2387,Adrian,Huxley,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Chatswood,2067,Australia
Euro Shopping Channel,2388,Diego,Freyre,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain
Classic Legends Inc.,2389,Maria,Hernandez,2125558493,5905 Pompton St.,NYC,10022,USA
Muscle Machine Inc,2390,Jeff,Young,2125557413,4092 Furth Circle,NYC,10022,USA
Suominen Souveniers,2391,Kalle,Suominen,+358 9 8045 555,"Software Engineering Center, SEC Oy",Espoo,FIN-02271,Finland
"Australian Gift Network, Co",2392,Tony,Calaghan,61-7-3844-6555,31 Duncan St. West End,South Brisbane,4101,Australia
"Dragon Souveniers, Ltd.",2393,Eric,Natividad,+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,79903,Singapore
L'ordine Souveniers,2394,Maurizio,Moroni,0522-556555,Strada Provinciale 124,Reggio Emilia,42100,Italy
"Iberia Gift Imports, Corp.",2395,Jose Pedro,Roel,(95) 555 82 82,"C/ Romero, 33",Sevilla,41101,Spain
Mini Classics,2396,Steve,Frick,9145554562,3758 North Pendale Street,White Plains,24067,USA
Diecast Collectables,2397,Valarie,Franco,6175552555,6251 Ingle Ln.,Boston,51003,USA
"Clover Collections, Co.",2398,Dean,Cassidy,+353 1862 1555,25 Maiden Lane,Dublin,2,Ireland
"Blauer See Auto, Co.",2399,Roland,Keitel,+49 69 66 90 2555,Lyonerstr. 34,Frankfurt,60528,Germany
Euro Shopping Channel,2400,Diego,Freyre,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain
Handji Gifts& Co,2401,Wendy,Victorino,+65 224 1555,Village Close - 106 Linden Road Sandown,Singapore,69045,Singapore
Mini Gifts Distributors Ltd.,2402,Valarie,Nelson,4155551450,5677 Strong St.,San Rafael,97562,USA
Mini Gifts Distributors Ltd.,2403,Valarie,Nelson,4155551450,5677 Strong St.,San Rafael,97562,USA
Land of Toys Inc.,2404,Kwai,Yu,2125557818,897 Long Airport Avenue,NYC,10022,USA
Marta's Replicas Co.,2405,Marta,Hernandez,6175558555,39323 Spinnaker Dr.,Cambridge,51247,USA
Heintze Collectables,2406,Palle,Ibsen,86 21 3555,Smagsloget 45,Aaarhus,8200,Denmark
Vitachrome Inc.,2407,Michael,Frick,2125551500,2678 Kingston Rd.,NYC,10022,USA
"La Corne D'abondance, Co.",2408,Marie,Bertrand,(1) 42.34.2555,"265, boulevard Charonne",Paris,75012,France
Muscle Machine Inc,2409,Jeff,Young,2125557413,4092 Furth Circle,NYC,10022,USA
Euro Shopping Channel,2410,Diego,Freyre,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain
Mini Gifts Distributors Ltd.,2411,Valarie,Nelson,4155551450,5677 Strong St.,San Rafael,97562,USA
Euro Shopping Channel,2412,Diego,Freyre,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain
Euro Shopping Channel,2413,Diego,Freyre,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain
Euro Shopping Channel,2414,Diego,Freyre,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain
La Rochelle Gifts,2415,Janine,Labrune,40.67.8555,"67, rue des Cinquante Otages",Nantes,44000,France
Land of Toys Inc.,2416,Kwai,Yu,2125557818,897 Long Airport Avenue,NYC,10022,USA
"Australian Collectors, Co.",2417,Peter,Ferguson,03 9520 4555,636 St Kilda Road,Melbourne,3004,Australia
Lyon Souveniers,2418,Daniel,Da Cunha,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,Paris,75508,France
Toys4GrownUps.com,2419,Julie,Young,6265557265,78934 Hillside Dr.,Pasadena,90003,USA
Technics Stores Inc.,2420,Juri,Hirano,6505556809,9408 Furth Circle,Burlingame,94217,USA
Daedalus Designs Imports,2421,Martine,Rance,20.16.1555,"184, chausse de Tournai",Lille,59000,France
Herkku Gifts,2422,Veysel,Oeztan,+47 2267 3215,"Drammen 121, PR 744 Sentrum",Bergen,N 5804,Norway
Auto Canal Petit,2423,Dominique,Perrier,(1) 47.55.6555,"25, rue Lauriston",Paris,75016,France
"Australian Collectors, Co.",2424,Peter,Ferguson,03 9520 4555,636 St Kilda Road,Melbourne,3004,Australia
Vitachrome Inc.,2425,Michael,Frick,2125551500,2678 Kingston Rd.,NYC,10022,USA
Tekni Collectables Inc.,2426,William,Brown,2015559350,7476 Moss Rd.,Newark,94019,USA
Gift Depot Inc.,2427,Julie,King,2035552570,25593 South Bay Ln.,Bridgewater,97562,USA
La Rochelle Gifts,2428,Janine,Labrune,40.67.8555,"67, rue des Cinquante Otages",Nantes,44000,France
Marta's Replicas Co.,2429,Marta,Hernandez,6175558555,39323 Spinnaker Dr.,Cambridge,51247,USA
"Toys of Finland, Co.",2430,Matti,Karttunen,90-224 8555,Keskuskatu 45,Helsinki,21240,Finland
Baane Mini Imports,2431,Jonas,Bergulfsen,07-98 9555,Erling Skakkes gate 78,Stavern,4110,Norway
Diecast Classics Inc.,2432,Kyung,Yu,2155551555,7586 Pompton St.,Allentown,70267,USA
Land of Toys Inc.,2433,Kwai,Yu,2125557818,897 Long Airport Avenue,NYC,10022,USA
"Tokyo Collectables, Ltd",2434,Akiko,Shimamura,+81 3 3584 0555,2-2-8 Roppongi,Minato-ku,106-0032,Japan
Technics Stores Inc.,2435,Juri,Hirano,6505556809,9408 Furth Circle,Burlingame,94217,USA
"Australian Gift Network, Co",2436,Tony,Calaghan,61-7-3844-6555,31 Duncan St. West End,South Brisbane,4101,Australia
Scandinavian Gift Ideas,2437,Maria,Larsson,0695-34 6555,?kergatan 24,Boras,S-844 67,Sweden
"UK Collectables, Ltd.",2438,Elizabeth,Devon,(171) 555-2282,Berkeley Gardens 12  Brewery,Liverpool,WX1 6LT,UK
Euro Shopping Channel,2439,Diego,Freyre,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain
"AV Stores, Co.",2440,Victoria,Ashworth,(171) 555-1555,Fauntleroy Circus,Manchester,EC2 5NT,UK
Atelier graphique,2441,Carine,Schmitt,40.32.2555,"54, rue Royale",Nantes,44000,France
Reims Collectables,2442,Paul,Henriot,26.47.1555,59 rue de l'Abbaye,Reims,51100,France
"Anna's Decorations, Ltd",2443,Anna,O'Hara,02 9936 8555,201 Miller Street,North Sydney,2060,Australia
Heintze Collectables,2444,Palle,Ibsen,86 21 3555,Smagsloget 45,Aaarhus,8200,Denmark
Gift Depot Inc.,2445,Julie,King,2035552570,25593 South Bay Ln.,Bridgewater,97562,USA
Herkku Gifts,2446,Veysel,Oeztan,+47 2267 3215,"Drammen 121, PR 744 Sentrum",Bergen,N 5804,Norway
Online Diecast Creations Co.,2447,Valarie,Young,6035558647,2304 Long Airport Avenue,Nashua,62005,USA
Muscle Machine Inc,2448,Jeff,Young,2125557413,4092 Furth Circle,NYC,10022,USA
Euro Shopping Channel,2449,Diego,Freyre,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain
Collectable Mini Designs Co.,2450,Valarie,Thompson,7605558146,361 Furth Circle,San Diego,91217,USA
Mini Caravy,2451,Frederique,Citeaux,88.60.1555,"24, place Kluber",Strasbourg,67000,France
L'ordine Souveniers,2452,Maurizio,Moroni,0522-556555,Strada Provinciale 124,Reggio Emilia,42100,Italy
Signal Gift Stores,2453,Sue,King,7025551838,8489 Strong St.,Las Vegas,83030,USA
Handji Gifts& Co,2454,Wendy,Victorino,+65 224 1555,Village Close - 106 Linden Road Sandown,Singapore,69045,Singapore
"Norway Gifts By Mail, Co.",2455,Jan,Klaeboe,+47 2212 1555,"Drammensveien 126 A, PB 744 Sentrum",Oslo,N 0106,Norway
Euro Shopping Channel,2456,Diego,Freyre,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain
FunGiftIdeas.com,2457,Violeta,Benitez,5085552555,1785 First Street,New Bedford,50553,USA
"AV Stores, Co.",2458,Victoria,Ashworth,(171) 555-1555,Fauntleroy Circus,Manchester,EC2 5NT,UK
Reims Collectables,2459,Paul,Henriot,26.47.1555,59 rue de l'Abbaye,Reims,51100,France
Toys4GrownUps.com,2460,Julie,Young,6265557265,78934 Hillside Dr.,Pasadena,90003,USA
Euro Shopping Channel,2461,Diego,Freyre,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain
The Sharp Gifts Warehouse,2462,Sue,Frick,4085553659,3086 Ingle Ln.,San Jose,94217,USA
Souveniers And Things Co.,2463,Adrian,Huxley,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Chatswood,2067,Australia
Rovelli Gifts,2464,Giovanni,Rovelli,035-640555,Via Ludovico il Moro 22,Bergamo,24100,Italy
"Australian Collectors, Co.",2465,Peter,Ferguson,03 9520 4555,636 St Kilda Road,Melbourne,3004,Australia
Euro Shopping Channel,2466,Diego,Freyre,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain
Toys4GrownUps.com,2467,Julie,Young,6265557265,78934 Hillside Dr.,Pasadena,90003,USA
Technics Stores Inc.,2468,Juri,Hirano,6505556809,9408 Furth Circle,Burlingame,94217,USA
Osaka Souveniers Co.,2469,Mory,Kentary,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka,530-0003,Japan
"Australian Collectors, Co.",2470,Peter,Ferguson,03 9520 4555,636 St Kilda Road,Melbourne,3004,Australia
"Royal Canadian Collectables, Ltd.",2471,Elizabeth,Lincoln,(604) 555-4555,23 Tsawassen Blvd.,Tsawassen,T2F 8M4,Canada
The Sharp Gifts Warehouse,2472,Sue,Frick,4085553659,3086 Ingle Ln.,San Jose,94217,USA
Euro Shopping Channel,2473,Diego,Freyre,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain
La Rochelle Gifts,2474,Janine,Labrune,40.67.8555,"67, rue des Cinquante Otages",Nantes,44000,France
"Norway Gifts By Mail, Co.",2475,Jan,Klaeboe,+47 2212 1555,"Drammensveien 126 A, PB 744 Sentrum",Oslo,N 0106,Norway
"Clover Collections, Co.",2476,Dean,Cassidy,+353 1862 1555,25 Maiden Lane,Dublin,2,Ireland
Mini Classics,2477,Steve,Frick,9145554562,3758 North Pendale Street,White Plains,24067,USA
giftsbymail.co.uk,2478,Helen,Bennett,(198) 555-8888,Garden House Crowther Way,Cowes,PO31 7PJ,UK
Rovelli Gifts,2479,Giovanni,Rovelli,035-640555,Via Ludovico il Moro 22,Bergamo,24100,Italy
"Tokyo Collectables, Ltd",2480,Akiko,Shimamura,+81 3 3584 0555,2-2-8 Roppongi,Minato-ku,106-0032,Japan
Gift Ideas Corp.,2481,Dan,Lewis,2035554407,2440 Pompton St.,Glendale,97561,USA
"Australian Gift Network, Co",2482,Tony,Calaghan,61-7-3844-6555,31 Duncan St. West End,South Brisbane,4101,Australia
Euro Shopping Channel,2483,Diego,Freyre,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain
Reims Collectables,2484,Paul,Henriot,26.47.1555,59 rue de l'Abbaye,Reims,51100,France
Tekni Collectables Inc.,2485,William,Brown,2015559350,7476 Moss Rd.,Newark,94019,USA
L'ordine Souveniers,2486,Maurizio,Moroni,0522-556555,Strada Provinciale 124,Reggio Emilia,42100,Italy
"Blauer See Auto, Co.",2487,Roland,Keitel,+49 69 66 90 2555,Lyonerstr. 34,Frankfurt,60528,Germany
"AV Stores, Co.",2488,Victoria,Ashworth,(171) 555-1555,Fauntleroy Circus,Manchester,EC2 5NT,UK
Signal Gift Stores,2489,Sue,King,7025551838,8489 Strong St.,Las Vegas,83030,USA
Signal Collectibles Ltd.,2490,Sue,Taylor,4155554312,2793 Furth Circle,Brisbane,94217,USA
Rovelli Gifts,2491,Giovanni,Rovelli,035-640555,Via Ludovico il Moro 22,Bergamo,24100,Italy
Mini Gifts Distributors Ltd.,2492,Valarie,Nelson,4155551450,5677 Strong St.,San Rafael,97562,USA
"Australian Collectables, Ltd",2493,Sean,Connery,61-9-3844-6555,7 Allen Street,Glen Waverly,3150,Australia
Euro Shopping Channel,2494,Diego,Freyre,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain
"Corrida Auto Replicas, Ltd",2495,Mart¡n,Sommer,(91) 555 22 82,"C/ Araquil, 67",Madrid,28023,Spain
"Saveley & Henriot, Co.",2496,Mary,Saveley,78.32.5555,"2, rue du Commerce",Lyon,69004,France
Diecast Collectables,2497,Valarie,Franco,6175552555,6251 Ingle Ln.,Boston,51003,USA
Amica Models & Co.,2498,Paolo,Accorti,011-4988555,Via Monte Bianco 34,Torino,10100,Italy
Handji Gifts& Co,2499,Wendy,Victorino,+65 224 1555,Village Close - 106 Linden Road Sandown,Singapore,69045,Singapore
Auto Assoc. & Cie.,2500,Daniel,Tonini,30.59.8555,"67, avenue de l'Europe",Versailles,78000,France
Mini Gifts Distributors Ltd.,2501,Valarie,Nelson,4155551450,5677 Strong St.,San Rafael,97562,USA
Online Diecast Creations Co.,2502,Valarie,Young,6035558647,2304 Long Airport Avenue,Nashua,62005,USA
"AV Stores, Co.",2503,Victoria,Ashworth,(171) 555-1555,Fauntleroy Circus,Manchester,EC2 5NT,UK
Marseille Mini Autos,2504,Laurence,Lebihan,91.24.4555,"12, rue des Bouchers",Marseille,13008,France
Lyon Souveniers,2505,Daniel,Da Cunha,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,Paris,75508,France
Toys4GrownUps.com,2506,Julie,Young,6265557265,78934 Hillside Dr.,Pasadena,90003,USA
Euro Shopping Channel,2507,Diego,Freyre,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain
"Anna's Decorations, Ltd",2508,Anna,O'Hara,02 9936 8555,201 Miller Street,North Sydney,2060,Australia
Handji Gifts& Co,2509,Wendy,Victorino,+65 224 1555,Village Close - 106 Linden Road Sandown,Singapore,69045,Singapore
Souveniers And Things Co.,2510,Adrian,Huxley,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Chatswood,2067,Australia
Land of Toys Inc.,2511,Kwai,Yu,2125557818,897 Long Airport Avenue,NYC,10022,USA
"Australian Collectors, Co.",2512,Peter,Ferguson,03 9520 4555,636 St Kilda Road,Melbourne,3004,Australia
Lyon Souveniers,2513,Daniel,Da Cunha,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,Paris,75508,France
Toys4GrownUps.com,2514,Julie,Young,6265557265,78934 Hillside Dr.,Pasadena,90003,USA
Baane Mini Imports,2515,Jonas,Bergulfsen,07-98 9555,Erling Skakkes gate 78,Stavern,4110,Norway
Technics Stores Inc.,2516,Juri,Hirano,6505556809,9408 Furth Circle,Burlingame,94217,USA
Daedalus Designs Imports,2517,Martine,Rance,20.16.1555,"184, chausse de Tournai",Lille,59000,France
Herkku Gifts,2518,Veysel,Oeztan,+47 2267 3215,"Drammen 121, PR 744 Sentrum",Bergen,N 5804,Norway
Osaka Souveniers Co.,2519,Mory,Kentary,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka,530-0003,Japan
"Australian Collectors, Co.",2520,Peter,Ferguson,03 9520 4555,636 St Kilda Road,Melbourne,3004,Australia
Motor Mint Distributors Inc.,2521,Rosa,Hernandez,2155559857,11328 Douglas Av.,Philadelphia,71270,USA
The Sharp Gifts Warehouse,2522,Sue,Frick,4085553659,3086 Ingle Ln.,San Jose,94217,USA
Gift Depot Inc.,2523,Julie,King,2035552570,25593 South Bay Ln.,Bridgewater,97562,USA
La Rochelle Gifts,2524,Janine,Labrune,40.67.8555,"67, rue des Cinquante Otages",Nantes,44000,France
Marta's Replicas Co.,2525,Marta,Hernandez,6175558555,39323 Spinnaker Dr.,Cambridge,51247,USA
"Clover Collections, Co.",2526,Dean,Cassidy,+353 1862 1555,25 Maiden Lane,Dublin,2,Ireland
Mini Classics,2527,Steve,Frick,9145554562,3758 North Pendale Street,White Plains,24067,USA
Diecast Classics Inc.,2528,Kyung,Yu,2155551555,7586 Pompton St.,Allentown,70267,USA
Land of Toys Inc.,2529,Kwai,Yu,2125557818,897 Long Airport Avenue,NYC,10022,USA
Enaco Distributors,2530,Eduardo,Saavedra,(93) 203 4555,"Rambla de Catalu¤a, 23",Barcelona,8022,Spain
Suominen Souveniers,2531,Kalle,Suominen,+358 9 8045 555,"Software Engineering Center, SEC Oy",Espoo,FIN-02271,Finland
La Rochelle Gifts,2532,Janine,Labrune,40.67.8555,"67, rue des Cinquante Otages",Nantes,44000,France
Scandinavian Gift Ideas,2533,Maria,Larsson,0695-34 6555,?kergatan 24,Boras,S-844 67,Sweden
Auto Canal Petit,2534,Dominique,Perrier,(1) 47.55.6555,"25, rue Lauriston",Paris,75016,France
L'ordine Souveniers,2535,Maurizio,Moroni,0522-556555,Strada Provinciale 124,Reggio Emilia,42100,Italy
Danish Wholesale Imports,2536,Jytte,Petersen,31 12 3555,Vinb'ltet 34,Kobenhavn,1734,Denmark
"Dragon Souveniers, Ltd.",2537,Eric,Natividad,+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,79903,Singapore
"Stylish Desk Decors, Co.",2538,Ann,Brown,(171) 555-0297,35 King George,London,WX3 6FW,UK
Mini Gifts Distributors Ltd.,2539,Valarie,Nelson,4155551450,5677 Strong St.,San Rafael,97562,USA
Euro Shopping Channel,2540,Diego,Freyre,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain
Scandinavian Gift Ideas,2541,Maria,Larsson,0695-34 6555,?kergatan 24,Boras,S-844 67,Sweden
CAF Imports,2542,Jesus,Fernandez,+34 913 728 555,"Merchants House, 27-30 Merchant's Quay",Madrid,28023,Spain
Mini Creations Ltd.,2543,Wing C,Tam,5085559555,4575 Hillside Dr.,New Bedford,50553,USA
Enaco Distributors,2544,Eduardo,Saavedra,(93) 203 4555,"Rambla de Catalu¤a, 23",Barcelona,8022,Spain
"Saveley & Henriot, Co.",2545,Mary,Saveley,78.32.5555,"2, rue du Commerce",Lyon,69004,France
Petit Auto,2546,Catherine,Dewey,(02) 5554 67,Rue Joseph-Bens 532,Bruxelles,B-1180,Belgium
giftsbymail.co.uk,2547,Helen,Bennett,(198) 555-8888,Garden House Crowther Way,Cowes,PO31 7PJ,UK
Land of Toys Inc.,2548,Kwai,Yu,2125557818,897 Long Airport Avenue,NYC,10022,USA
Quebec Home Shopping Network,2549,Jean,Fresnisre,(514) 555-8054,43 rue St. Laurent,Montreal,H1J 1C3,Canada
Petit Auto,2550,Catherine,Dewey,(02) 5554 67,Rue Joseph-Bens 532,Bruxelles,B-1180,Belgium
"Royal Canadian Collectables, Ltd.",2551,Elizabeth,Lincoln,(604) 555-4555,23 Tsawassen Blvd.,Tsawassen,T2F 8M4,Canada
Amica Models & Co.,2552,Paolo,Accorti,011-4988555,Via Monte Bianco 34,Torino,10100,Italy
"AV Stores, Co.",2553,Victoria,Ashworth,(171) 555-1555,Fauntleroy Circus,Manchester,EC2 5NT,UK
La Rochelle Gifts,2554,Janine,Labrune,40.67.8555,"67, rue des Cinquante Otages",Nantes,44000,France
"Volvo Model Replicas, Co",2555,Christina,Berglund,0921-12 3555,Berguvsvgen  8,Lule,S-958 22,Sweden
Classic Legends Inc.,2556,Maria,Hernandez,2125558493,5905 Pompton St.,NYC,10022,USA
Euro Shopping Channel,2557,Diego,Freyre,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain
"Tokyo Collectables, Ltd",2558,Akiko,Shimamura,+81 3 3584 0555,2-2-8 Roppongi,Minato-ku,106-0032,Japan
Mini Gifts Distributors Ltd.,2559,Valarie,Nelson,4155551450,5677 Strong St.,San Rafael,97562,USA
Gifts4AllAges.com,2560,Juri,Yoshido,6175559555,8616 Spinnaker Dr.,Boston,51003,USA
"Blauer See Auto, Co.",2561,Roland,Keitel,+49 69 66 90 2555,Lyonerstr. 34,Frankfurt,60528,Germany
"AV Stores, Co.",2562,Victoria,Ashworth,(171) 555-1555,Fauntleroy Circus,Manchester,EC2 5NT,UK
Signal Gift Stores,2563,Sue,King,7025551838,8489 Strong St.,Las Vegas,83030,USA
Signal Collectibles Ltd.,2564,Sue,Taylor,4155554312,2793 Furth Circle,Brisbane,94217,USA
Rovelli Gifts,2565,Giovanni,Rovelli,035-640555,Via Ludovico il Moro 22,Bergamo,24100,Italy
